Locomotion,Speed (um/s)
crawl,1.62925
crawl,1.71225
crawl,1.71225
crawl,2.7755
crawl,2.7755
crawl,6.2565
crawl,6.2565
crawl,6.2565
crawl,6.2565
crawl,6.2565
crawl,6.2565
crawl,9.202
crawl,10.02475
crawl,10.02475
crawl,10.02475
crawl,10.02475
crawl,10.02475
crawl,11.58925
crawl,11.58925
crawl,11.423
crawl,11.423
crawl,11.423
crawl,11.423
crawl,11.423
crawl,11.423
crawl,11.423
crawl,11.423
crawl,11.423
crawl,11.423
crawl,11.423
crawl,10.281
crawl,10.281
crawl,10.281
crawl,10.281
crawl,10.281
crawl,10.281
crawl,10.281
crawl,10.281
crawl,10.281
crawl,10.10425
crawl,10.10425
crawl,10.02125
crawl,10.02125
crawl,8.81375
crawl,8.81375
crawl,5.33275
crawl,5.33275
crawl,5.33275
crawl,5.33275
crawl,5.33275
crawl,5.33275
crawl,2.38725
crawl,1.5645
crawl,1.5645
crawl,1.5645
crawl,1.5645
crawl,1.5645
crawl,1.1915
crawl,1.1915
crawl,1.1915
crawl,1.1915
crawl,1.1915
crawl,1.1915
crawl,1.1915
crawl,1.1915
crawl,1.1915
crawl,1.1915
crawl,1.1915
crawl,1.1915
crawl,1.1915
crawl,1.1915
crawl,1.1915
crawl,1.1915
crawl,1.1915
crawl,1.1915
crawl,1.1915
crawl,1.1915
crawl,1.1915
crawl,1.1915
crawl,1.1915
crawl,1.1915
crawl,1.1915
crawl,1.1915
crawl,1.1915
crawl,1.1915
crawl,1.1915
crawl,1.1915
crawl,1.1915
crawl,1.1915
crawl,1.1915
crawl,1.1915
crawl,1.1915
crawl,1.1915
crawl,1.1915
crawl,1.1915
crawl,1.1915
crawl,1.1915
crawl,0.123
crawl,1.14425
crawl,1.14425
crawl,1.14425
crawl,1.14425
crawl,1.14425
crawl,1.14425
crawl,1.20825
crawl,1.20825
crawl,1.278
crawl,1.278
crawl,1.44625
crawl,1.44625
crawl,1.44625
crawl,1.44625
crawl,1.44625
crawl,1.44625
crawl,1.44625
crawl,1.44625
crawl,1.69325
crawl,1.69325
crawl,1.69325
crawl,3.00975
crawl,3.0965
crawl,3.0965
crawl,3.0965
crawl,3.0055
crawl,3.0055
crawl,3.0055
crawl,3.0055
crawl,3.0055
crawl,3.0055
crawl,3.3165
crawl,5.20725
crawl,5.20725
